"These are the fields that Telarus, our main distributor, uses to report by vendor.  We will need to create templates to match our fields to theirs.  We will display different field ""label names"" on these fields for our own understanding.",,,,,,,,
The fields in 7-10 are common fields that all templates will use.  ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Template Map Name,Origin,CompanyName,templateId,commissionType,fieldId,Telarus CommonFields,New Commissable Field Label,
Telarus-Peerless Network Infobip,Telarus,Peerless Network Infobip,2531,Residual,332,Sales Commission,Actual Commission,
Telarus-Spectrum,Telarus,Spectrum,2381,Residual,458,Enterprise Commission,Actual Commission,
Telarus-Spectrum,Telarus,Spectrum,2381,Residual,457,SMB Commission,Actual Commission,
Telarus-Spectrum Business CAD,Telarus,Spectrum Business CAD,2383,Residual,458,Enterprise Commission,Actual Commission,
Telarus-Spectrum Business CAD,Telarus,Spectrum Business CAD,2383,Residual,457,SMB Commission,Actual Commission,
Telarus-SteelDome Cyber,Telarus,SteelDome Cyber,1626,Residual,332,Sales Commission,Actual Commission,
Telarus-Telesystem,Telarus,Telesystem,2019,Residual,332,Sales Commission,Actual Commission,
Telarus-TeligentIP,Telarus,TeligentIP,2527,Residual,499,Monthly Commission,Actual Commission,
Telarus-Veracity (FirstDigital),Telarus,Veracity (FirstDigital),2510,Residual,332,Sales Commission,Actual Commission,
Telarus-Vodafone,Telarus,Vodafone,2389,Residual,458,Enterprise Commission,Actual Commission,
Telarus-Vodafone,Telarus,Vodafone,2389,Residual,457,SMB Commission,Actual Commission,
Telarus-365 Data Centers,Telarus,365 Data Centers,2449,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-8x8,Telarus,8x8,1937,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Advantix,Telarus,Advantix,2492,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-AireSpring,Telarus,AireSpring,2368,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-AireSpring,Telarus,AireSpring,2414,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-AireSpring,Telarus,AireSpring,2414,Residual,125,EX %,Actual Commission Rate %,
Telarus-Ancero,Telarus,Ancero,2021,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Arelion,Telarus,Arelion,1746,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Arelion UK,Telarus,Arelion UK,2028,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Aryaka,Telarus,Aryaka,1964,Residual,134,Commission Percent,Actual Commission Rate %,
